datetime,order_date,trading_date,instrument_id,instrument,buyOrSell,openOrClose,price,openPrice,count,count_back,ID,tradeId,mul,flag,model_flag,status,fee
2023-01-03,2023-01-03,2023-01-03,A2305,A,-1,0,4649.21942198928,4649.21942198928,21,21,416319918652,416319918652,10,0,pre_1,open,195.26721572354975
2023-01-03,2023-01-03,2023-01-03,A2305,A,-1,1,4649.21942198928,4649.21942198928,21,21,416319918652,416319918652,10,0,pre_1,close,195.26721572354975
2023-01-04,2023-01-04,2023-01-04,A2305,A,-1,0,4691.403459215824,4691.403459215824,21,21,416322366695,416322366695,10,0,pre_1,open,197.03894528706465
2023-01-04,2023-01-04,2023-01-04,A2305,A,-1,1,4691.403459215824,4691.403459215824,21,21,416322366695,416322366695,10,0,pre_1,close,197.03894528706465
2023-01-04,2023-01-04,2023-01-04,AG2306,AG,-1,0,3804.3411043409474,3804.3411043409474,17,17,416324567631,416324567631,15,0,pre_1,open,194.02139632138835
2023-01-04,2023-01-04,2023-01-04,AG2306,AG,-1,1,3804.3411043409474,3804.3411043409474,17,17,416324567631,416324567631,15,0,pre_1,close,194.02139632138835
2023-01-05,2023-01-05,2023-01-05,AG2306,AG,1,0,3775.483012707649,3775.483012707649,17,17,416327135708,416327135708,15,0,pre_1,open,192.5496336480901
2023-01-05,2023-01-05,2023-01-05,AG2306,AG,1,1,3775.483012707649,3775.483012707649,17,17,416327135708,416327135708,15,0,pre_1,close,192.5496336480901
2023-01-06,2023-01-06,2023-01-06,A2305,A,1,0,4654.604618230967,4654.604618230967,21,21,416329389800,416329389800,10,0,pre_1,open,195.49339396570065
2023-01-06,2023-01-06,2023-01-06,A2305,A,1,1,4654.604618230967,4654.604618230967,21,21,416329389800,416329389800,10,0,pre_1,close,195.49339396570065
2023-01-06,2023-01-06,2023-01-06,AG2306,AG,1,0,3661.458357961445,3661.458357961445,18,18,416331493518,416331493518,15,0,pre_1,open,197.71875132991804
2023-01-06,2023-01-06,2023-01-06,AG2306,AG,1,1,3661.458357961445,3661.458357961445,18,18,416331493518,416331493518,15,0,pre_1,close,197.71875132991804
2023-01-09,2023-01-09,2023-01-09,A2305,A,1,0,4655.502150937914,4655.502150937914,21,21,416333639857,416333639857,10,0,pre_1,open,195.53109033939242
2023-01-09,2023-01-09,2023-01-09,A2305,A,1,1,4655.502150937914,4655.502150937914,21,21,416333639857,416333639857,10,0,pre_1,close,195.53109033939242
2023-01-09,2023-01-09,2023-01-09,AG2306,AG,-1,0,3642.454248837077,3642.454248837077,18,18,416336032049,416336032049,15,0,pre_1,open,196.69252943720218
2023-01-09,2023-01-09,2023-01-09,AG2306,AG,-1,1,3642.454248837077,3642.454248837077,18,18,416336032049,416336032049,15,0,pre_1,close,196.69252943720218
2023-01-10,2023-01-10,2023-01-10,A2305,A,-1,0,4695.891122750562,4695.891122750562,21,21,416338227071,416338227071,10,0,pre_1,open,197.22742715552363
2023-01-10,2023-01-10,2023-01-10,A2305,A,-1,1,4695.891122750562,4695.891122750562,21,21,416338227071,416338227071,10,0,pre_1,close,197.22742715552363
2023-01-11,2023-01-11,2023-01-11,A2305,A,-1,0,4739.870225391001,4739.870225391001,21,21,416341905668,416341905668,10,0,pre_1,open,199.07454946642207
2023-01-11,2023-01-11,2023-01-11,A2305,A,-1,1,4739.870225391001,4739.870225391001,21,21,416341905668,416341905668,10,0,pre_1,close,199.07454946642207
2023-01-11,2023-01-11,2023-01-11,AG2306,AG,1,0,3659.3467902809593,3659.3467902809593,18,18,416343649692,416343649692,15,0,pre_1,open,197.60472667517183
2023-01-11,2023-01-11,2023-01-11,AG2306,AG,1,1,3659.3467902809593,3659.3467902809593,18,18,416343649692,416343649692,15,0,pre_1,close,197.60472667517183
2023-01-12,2023-01-12,2023-01-12,AG2306,AG,-1,0,3702.28199978416,3702.28199978416,18,18,416345894185,416345894185,15,0,pre_1,open,199.92322798834462
2023-01-12,2023-01-12,2023-01-12,AG2306,AG,-1,1,3702.28199978416,3702.28199978416,18,18,416345894185,416345894185,15,0,pre_1,close,199.92322798834462
2023-01-12,2023-01-12,2023-01-12,A2305,A,1,0,4712.046711475622,4712.046711475622,21,21,416347442319,416347442319,10,0,pre_1,open,197.90596188197614
2023-01-12,2023-01-12,2023-01-12,A2305,A,1,1,4712.046711475622,4712.046711475622,21,21,416347442319,416347442319,10,0,pre_1,close,197.90596188197614
2023-01-13,2023-01-13,2023-01-13,A2305,A,-1,0,4753.333215995218,4753.333215995218,21,21,416350877126,416350877126,10,0,pre_1,open,199.63999507179915
2023-01-13,2023-01-13,2023-01-13,A2305,A,-1,1,4753.333215995218,4753.333215995218,21,21,416350877126,416350877126,10,0,pre_1,close,199.63999507179915
2023-01-16,2023-01-16,2023-01-16,A2305,A,-1,0,4780.25919720365,4780.25919720365,20,20,416352920068,416352920068,10,0,pre_1,open,191.210367888146
2023-01-16,2023-01-16,2023-01-16,A2305,A,-1,1,4780.25919720365,4780.25919720365,20,20,416352920068,416352920068,10,0,pre_1,close,191.210367888146
2023-01-17,2023-01-17,2023-01-17,AG2306,AG,1,0,3729.732379630468,3729.732379630468,17,17,416355780421,416355780421,15,0,pre_1,open,190.2163513611539
2023-01-17,2023-01-17,2023-01-17,AG2306,AG,1,1,3729.732379630468,3729.732379630468,17,17,416355780421,416355780421,15,0,pre_1,close,190.2163513611539
2023-01-18,2023-01-18,2023-01-18,A2305,A,-1,0,4870.012467898424,4870.012467898424,20,20,416357339154,416357339154,10,0,pre_1,open,194.80049871593695
2023-01-18,2023-01-18,2023-01-18,A2305,A,-1,1,4870.012467898424,4870.012467898424,20,20,416357339154,416357339154,10,0,pre_1,close,194.80049871593695
