,date,profit,model_flag,fee,long_fee,short_fee,profit_all,profit_float,rate,sum_profit,sum_rate,sum_long_profit,sum_short_profit
0,2022-01-04,0,pre_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-05,0,pre_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-06,0,pre_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-07,0,pre_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-10,0,pre_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-11,0,pre_1,2297.218016699468,0.0,2297.218016699468,-26808.72054230217,-24511.5025256027,-0.2680872054230288,-26808.72054230217,-0.2680872054230288,0.0,-26808.72054230217
6,2022-01-12,0,pre_1,3273.592867302634,0.0,3273.592867302634,12658.883774338834,15932.476641641468,0.12658883774339103,-14149.836767963336,-0.14149836767963775,0.0,-14149.836767963336
7,2022-01-13,0,pre_1,5872.358812353577,2945.5628532840087,2926.795959069568,-7355.077617235438,-1482.7188048818603,-0.07355077617235972,-21504.914385198776,-0.21504914385199747,5989.1069152157215,-27494.02130041449
8,2022-01-14,0,pre_1,7268.760345009401,4125.889367918358,3142.870977091045,8882.605643161854,16151.365988171256,0.08882605643163455,-12622.308742036921,-0.12622308742037402,16820.00063208959,-29442.309374126504
9,2022-01-17,0,pre_1,10397.599755694995,6652.9433212928925,3744.6564344021044,3457.57709442174,13855.176850116735,0.03457577094423403,-9164.731647615181,-0.09164731647614,27777.411990118148,-36942.14363773332
10,2022-01-18,0,pre_1,11476.324238652038,6613.530201441234,4862.7940372108105,19634.85419515017,31111.178433802204,0.19634854195149654,10470.122547534987,0.10470122547534544,45675.384314280134,-35205.26176674515
11,2022-01-19,0,pre_1,7486.623413346994,3934.137399354296,3552.4860139926996,-79420.05423231194,-71933.43081896495,-0.7942005423231202,-68949.93168477695,-0.6894993168477748,40528.88115285814,-109478.81283763508
12,2022-01-20,0,pre_1,5226.9876491744135,0.0,5226.9876491744135,-24592.54986752633,-19365.562218351915,-0.24592549867525904,-93542.48155230327,-0.9354248155230338,40528.88115285814,-134071.36270516142
13,2022-01-21,0,pre_1,15502.719850049562,5492.756799380663,10009.9630506689,-2048.6026217781946,13454.117228271367,-0.02048602621779194,-95591.08417408146,-0.9559108417408146,47227.371662262965,-142818.45583634445
14,2022-01-24,0,pre_1,5286.211086245284,2729.5891028029378,2556.621983442346,-57749.28261359817,-52463.071527352884,-0.5774928261359835,-153340.36678767964,-1.5334036678767982,21202.917178599473,-174543.28396627912
15,2022-01-25,0,pre_1,5052.539112486405,2684.231710912119,2368.3074015742873,-16074.291556484057,-11021.752443997651,-0.16074291556482656,-169414.6583441637,-1.694146583441647,17819.503749289262,-187234.16209345296
16,2022-01-26,0,pre_1,9775.37868589837,5363.868297101431,4411.510388796939,43596.041188793824,53371.4198746922,0.43596041188793677,-125818.61715536988,-1.258186171553699,56779.29653132682,-182597.9136866967
17,2022-01-27,0,pre_1,11830.008928820878,6426.6742343827045,5403.334694438179,-33167.63937828524,-21337.630449464363,-0.33167639378285374,-158986.2565336551,-1.5898625653365417,24855.52679087787,-183841.783324533
18,2022-01-28,0,pre_1,6774.834812654491,5609.362507125747,1165.4723055287434,11848.109200756186,18622.944013410677,0.11848109200756074,-147138.14733289892,-1.471381473328992,19657.14423128382,-166795.29156418276
19,2022-02-07,0,pre_1,9547.35807190277,3309.614422196086,6237.743649706682,36656.57388526932,46203.931957172084,0.3665657388526977,-110481.5734476296,-1.1048157344762943,7230.783499633324,-117712.35694726293
20,2022-02-08,0,pre_1,10352.848500268481,3705.3137442607044,6647.534756007777,27990.646722151905,38343.49522242039,0.27990646722153567,-82490.92672547771,-0.8249092672547698,36759.333319829224,-119250.2600453069
21,2022-02-09,0,pre_1,8024.819957705792,2338.4161860588733,5686.403771646918,-11065.38804129748,-3040.5680835916864,-0.11065388041296975,-93556.31476677519,-0.9355631476677617,42826.439010330316,-136382.75377710548
22,2022-02-10,0,pre_1,5315.111344207447,3542.9469681148557,1772.1643760925897,6242.327804472553,11557.43914868,0.06242327804473202,-87313.98696230263,-0.8731398696230297,46929.7985037218,-134243.78546602442
23,2022-02-11,0,pre_1,13767.573208685808,6493.0150758664,7274.558132819404,3873.7261930612112,17641.29940174702,0.038737261930621436,-83440.26076924142,-0.8344026076924083,22054.99771273283,-105495.25848197423
24,2022-02-14,0,pre_1,10604.97786506515,5288.586059317439,5316.391805747708,-32805.00700006585,-22200.029135000703,-0.3280500700006628,-116245.26776930728,-1.162452677693071,59257.925842002565,-175503.19361130983
25,2022-02-15,0,pre_1,7302.102668211892,3663.1508234355,3638.95184477639,18650.01539874349,25952.118066955383,0.18650015398742337,-97595.25237056379,-0.9759525237056477,71564.22597272115,-169159.47834328492
26,2022-02-16,0,pre_1,4454.965855795071,2306.721564323671,2148.2442914713997,-63847.79474921131,-59392.82889341624,-0.638477947492111,-161443.0471197751,-1.6144304711977586,-5866.607237411328,-155576.43988236375
27,2022-02-17,0,pre_1,8151.291563296107,2899.986441891664,5251.305121404444,37022.097828025566,45173.389391321674,0.3702209782802557,-124420.94929174952,-1.2442094929174918,-713.6033547813022,-123707.34593696821
28,2022-02-18,0,pre_1,11145.74856179541,4192.448576208326,6953.299985587083,35516.63522875379,46662.3837905492,0.35516635228753923,-88904.31406299573,-0.8890431406299637,20383.06275110716,-109287.37681410287
29,2022-02-21,0,pre_1,16742.060139925492,8480.958045363192,8261.102094562306,59046.3693704506,75788.4295103761,0.5904636937045016,-29857.944692545134,-0.298579446925451,52651.44271125138,-82509.38740379647
30,2022-02-22,0,pre_1,11802.948672948805,3747.443391228617,8055.505281720188,1749.5580167307235,13552.506689679529,0.017495580167303793,-28108.38667581441,-0.2810838667581361,53301.51071745684,-81409.89739327121
31,2022-02-23,0,pre_1,4421.126809752123,2880.9658997420934,1540.16091001003,18413.272911465978,22834.399721218102,0.18413272911466105,-9695.113764348433,-0.09695113764347507,68417.14798782716,-78112.26175217555
32,2022-02-24,0,pre_1,14604.262551976135,6444.245399422009,8160.017152554127,-123009.20248077082,-108404.93992879469,-1.2300920248077052,-132704.31624511926,-1.3270431624512025,80242.58446759924,-212946.90071271843
33,2022-02-25,0,pre_1,8759.742750264159,5250.700737314905,3509.0420129492536,-102978.68567410909,-94218.94292384492,-1.0297868567410884,-235683.00191922835,-2.356830019192291,20281.04135298998,-255964.0432722183
34,2022-02-28,0,pre_1,7664.593084097188,4164.593538309052,3499.9995457881378,3359.215122727762,11023.80820682495,0.03359215122726855,-232323.7867965006,-2.323237867965011,-904.0068248196148,-231419.77997168092
35,2022-03-01,0,pre_1,2306.451878046224,1152.3631384733922,1154.088739572832,-48553.28512150852,-46246.83324346229,-0.48553285121507583,-280877.0719180091,-2.808770719180087,5490.5926564321435,-286367.6645744412
36,2022-03-02,0,pre_1,4907.429655523513,1373.1601730658588,3534.269482457656,-31732.27896872526,-26824.849313201747,-0.3173227896872577,-312609.3508867343,-3.1260935088673447,7020.110414029625,-319629.46130076394
37,2022-03-03,0,pre_1,787.7093856372444,196.02751625080538,591.6818693864388,373.3617866286072,1161.0711722658516,0.0037336178662750186,-312235.9891001057,-3.1223598910010586,6824.08289777882,-319060.07199788454
38,2022-03-04,0,pre_1,7051.202798912357,4106.610198930123,2944.5925999822366,-32631.549664668437,-25580.34686575608,-0.3263154966466897,-344867.53876477416,-3.4486753876477483,-19960.196236244417,-324907.34252852976
